Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-16 00:03:04.463488244 +0530 IST,614.15000000,0.72200000,true,1,true
2025-03-16 00:03:04.47424119 +0530 IST,614.14000000,1.46600000,true,2,true
2025-03-16 00:03:04.483703272 +0530 IST,614.13000000,0.79200000,true,1,true
2025-03-16 00:03:04.49347527 +0530 IST,614.12000000,0.80400000,true,1,true
2025-03-16 00:03:04.540260257 +0530 IST,614.25000000,0.81400000,false,1,true
2025-03-16 00:03:05.128323201 +0530 IST,614.28000000,0.81400000,false,1,true
2025-03-16 00:03:05.1283467 +0530 IST,614.29000000,1.99600000,false,4,true
2025-03-16 00:03:05.231311396 +0530 IST,614.32000000,1.46600000,false,2,true
2025-03-16 00:03:05.231331801 +0530 IST,614.35000000,0.65200000,false,1,true
2025-03-16 00:03:05.233598247 +0530 IST,614.37000000,1.34800000,false,1,true
2025-03-16 00:03:05.243591449 +0530 IST,614.26000000,0.01800000,true,1,true
2025-03-16 00:03:07.669334653 +0530 IST,614.26000000,0.10000000,true,1,true
2025-03-16 00:03:18.378305525 +0530 IST,614.37000000,2.79200000,false,1,true
2025-03-16 00:03:18.379500126 +0530 IST,614.38000000,0.01100000,false,1,true
2025-03-16 00:03:18.383503199 +0530 IST,614.39000000,0.01000000,false,1,true
2025-03-16 00:03:18.393776971 +0530 IST,614.40000000,1.24700000,false,3,true
2025-03-16 00:03:18.403807284 +0530 IST,614.41000000,0.66500000,false,2,true
2025-03-16 00:03:18.414413335 +0530 IST,614.43000000,0.02400000,false,1,true
2025-03-16 00:03:18.424008453 +0530 IST,614.44000000,0.04300000,false,1,true
2025-03-16 00:03:18.433370363 +0530 IST,614.45000000,0.04600000,false,2,true
2025-03-16 00:03:18.444131463 +0530 IST,614.46000000,6.27100000,false,2,true
2025-03-16 00:03:18.453616011 +0530 IST,614.47000000,1.00000000,false,1,true
2025-03-16 00:03:21.029282929 +0530 IST,614.35000000,0.65200000,true,1,true
2025-03-16 00:03:21.030197239 +0530 IST,614.33000000,0.46200000,true,1,true
2025-03-16 00:03:21.034261783 +0530 IST,614.32000000,1.86000000,true,1,true
2025-03-16 00:03:21.04401138 +0530 IST,614.30000000,0.81400000,true,1,true
2025-03-16 00:03:21.053409043 +0530 IST,614.28000000,3.66500000,true,2,true
2025-03-16 00:03:21.064116969 +0530 IST,614.27000000,6.96200000,true,1,true
2025-03-16 00:03:21.073571717 +0530 IST,614.26000000,4.56000000,true,1,true
2025-03-16 00:03:21.084191038 +0530 IST,614.25000000,2.62900000,true,1,true
2025-03-16 00:03:21.093429954 +0530 IST,614.25000000,1.14600000,true,1,true
2025-03-16 00:03:21.103534473 +0530 IST,614.25000000,1.52800000,true,1,true
2025-03-16 00:03:21.447215339 +0530 IST,614.25000000,5.98300000,true,2,true
2025-03-16 00:03:21.448136583 +0530 IST,614.22000000,0.01300000,true,1,true
2025-03-16 00:03:21.453497081 +0530 IST,614.20000000,0.81400000,true,1,true
2025-03-16 00:03:22.572143856 +0530 IST,614.21000000,0.13000000,true,1,true
2025-03-16 00:03:22.572166525 +0530 IST,614.18000000,0.77000000,true,1,true
2025-03-16 00:03:32.024622766 +0530 IST,614.18000000,0.01100000,true,1,true
2025-03-16 00:03:32.02466661 +0530 IST,614.16000000,4.08000000,true,2,true
2025-03-16 00:03:32.04327833 +0530 IST,614.14000000,0.01000000,true,1,true
2025-03-16 00:03:32.154315772 +0530 IST,614.10000000,0.81400000,true,1,true
2025-03-16 00:03:32.31231058 +0530 IST,614.01000000,0.01000000,true,1,true
2025-03-16 00:03:32.312325343 +0530 IST,614.00000000,0.87100000,true,3,true
2025-03-16 00:03:32.649164193 +0530 IST,613.97000000,0.01100000,true,1,true
2025-03-16 00:03:32.70323537 +0530 IST,613.97000000,0.73200000,false,1,true
2025-03-16 00:03:32.70325396 +0530 IST,613.98000000,0.13000000,false,1,true
2025-03-16 00:03:35.047201612 +0530 IST,613.90000000,0.82400000,true,2,true
2025-03-16 00:03:35.048117416 +0530 IST,613.89000000,0.01000000,true,1,true
2025-03-16 00:03:35.05451207 +0530 IST,613.88000000,0.04500000,false,1,true
2025-03-16 00:03:43.632510055 +0530 IST,613.86000000,1.63800000,true,2,true
2025-03-16 00:03:43.632525887 +0530 IST,613.85000000,0.83300000,true,1,true
2025-03-16 00:03:43.643235891 +0530 IST,613.81000000,1.55400000,true,1,true
2025-03-16 00:03:43.646395079 +0530 IST,613.81000000,2.34200000,true,1,true
2025-03-16 00:03:43.705286209 +0530 IST,613.80000000,4.66400000,true,2,true
2025-03-16 00:03:43.917169023 +0530 IST,613.77000000,0.01100000,true,1,true
2025-03-16 00:03:43.917185288 +0530 IST,613.76000000,0.04800000,true,1,true
